acc_x,acc_y,acc_z,bvp,eda,hr,temp,relative_time,phase,observed_stress,reported_stress
-12.75,7.125,63.0,-0.248125,0.201096,62.0,31.65,0.0,baseline,2.546939839746707,0.0
-12.125,7.0,63.0,-5.1625,0.202377,62.31,31.65,0.25,baseline,2.5514233397467074,0.0
-12.125,7.0,63.0,2.320667,0.199815,62.67,31.65,0.5,baseline,2.542456339746707,0.0
-12.125,7.125,63.0,5.530625,0.201096,63.07,31.65,0.75,baseline,2.546939839746707,0.0
-12.0,7.125,63.0,-1.03875,0.202377,63.5,31.67,1.0,baseline,2.611423339746717,0.0
-12.0,7.0,63.0,-5.520667,0.199815,63.95,31.67,1.25,baseline,2.6024563397467166,0.0
-12.0,7.111,63.0,1.073125,0.199815,64.41,31.67,1.5,baseline,2.6024563397467166,0.0
-12.0,7.125,63.0,5.398,0.199815,64.88,31.67,1.75,baseline,2.6024563397467166,0.0
-12.0,7.125,63.0,-3.325,0.202377,65.33,31.67,2.0,baseline,2.611423339746717,0.0
-12.0,7.25,63.0,1.3025,0.198535,65.77,31.67,2.25,baseline,2.5979763397467166,0.0
-12.0,7.5,63.0,0.56,0.197254,66.19,31.67,2.5,baseline,2.5934928397467165,0.0
-12.25,7.0,63.0,-1.248125,0.198535,66.6,31.67,2.75,baseline,2.5979763397467166,0.0
-12.0,7.0,63.0,3.3125,0.198535,67.0,31.65,3.0,baseline,2.5379763397467068,0.0
-12.0,7.125,63.0,0.766,0.198535,67.39,31.65,3.25,baseline,2.5379763397467068,0.0
-12.0,7.0,63.0,-2.42875,0.197254,67.76,31.65,3.5,baseline,2.533492839746707,0.0
-12.0,7.0,63.0,1.33,0.197254,68.1,31.65,3.75,baseline,2.533492839746707,0.0
-12.0,7.125,63.0,3.39,0.198535,68.4,31.65,4.0,baseline,2.5379763397467068,0.0
-12.0,7.0,63.0,-3.59,0.197254,68.66,31.65,4.25,baseline,2.533492839746707,0.0
-12.0,7.0,63.0,0.14,0.198535,68.91,31.65,4.5,baseline,2.2368129489842437,0.0
-12.0,7.0,63.0,2.124375,0.198535,69.17,31.65,4.75,baseline,2.5379763397467068,0.0
-12.0,7.0,63.25,-3.3475,0.199815,69.5,31.65,5.0,baseline,2.542456339746707,0.0
-11.0,7.25,63.125,-0.226667,0.197254,69.91,31.65,5.25,baseline,2.533492839746707,0.0
-11.333,7.0,63.0,4.258125,0.198535,70.38,31.65,5.5,baseline,2.5379763397467068,0.0
-12.25,7.0,62.875,-4.672,0.198535,70.9,31.65,5.75,baseline,2.5379763397467068,0.0
-11.75,7.0,63.0,-0.16375,0.197254,71.43,31.63,6.0,baseline,2.052781230509172,0.0
-11.25,7.0,63.0,1.336875,0.198535,71.95,31.63,6.25,baseline,2.4779763397467085,0.0
-11.375,7.625,63.25,-4.463333,0.197254,72.46,31.63,6.5,baseline,2.473492839746708,0.0
-11.125,7.625,63.0,0.06625,0.197254,72.94,31.63,6.75,baseline,1.619204448984245,0.0
